date,brand,category,region
03-01-2022,Sony,Smartphone,East
03-01-2022,Dell,Laptop,East
03-01-2022,Samsung,Tablet,Central
03-01-2022,Dell,Headphones,South
03-01-2022,Apple,Tablet,South
03-01-2022,Samsung,Smartphone,Central
04-01-2022,Sony,Tablet,South
04-01-2022,Dell,Smartphone,West
04-01-2022,Dell,Smartphone,West
04-01-2022,Samsung,Smartphone,West
04-01-2022,Apple,Smartphone,South
04-01-2022,Apple,Tablet,Central
04-01-2022,Apple,Laptop,East
04-01-2022,Sony,Laptop,Central
04-01-2022,Apple,Headphones,South
04-01-2022,Sony,Smartphone,North
04-01-2022,Samsung,Tablet,South
04-01-2022,Samsung,Laptop,East
04-01-2022,Samsung,Smartphone,West
04-01-2022,Apple,Headphones,East
04-01-2022,Dell,Tablet,East
04-01-2022,Apple,Smartphone,East
04-01-2022,Apple,Smartphone,West
04-01-2022,Dell,Smartphone,South
04-01-2022,Samsung,Smartphone,South
04-01-2022,Apple,Smartphone,Central
04-01-2022,Samsung,Headphones,East
04-01-2022,Apple,Laptop,North
04-01-2022,Apple,Smartphone,East
04-01-2022,Samsung,Smartphone,East
04-01-2022,Apple,Smartphone,Central
04-01-2022,Dell,Smartphone,North
04-01-2022,Samsung,Laptop,East
04-01-2022,Dell,Tablet,East
04-01-2022,Apple,Smartphone,North
04-01-2022,Apple,Smartphone,West
04-01-2022,Apple,Smartphone,East
04-01-2022,Apple,Laptop,East
04-01-2022,Apple,Laptop,North
04-01-2022,Dell,Tablet,North
04-01-2022,Samsung,Smartphone,Central
04-01-2022,Samsung,Smartphone,South
04-01-2022,Dell,Smartphone,West
04-01-2022,Samsung,Headphones,East
04-01-2022,Sony,Headphones,East
04-01-2022,Dell,Laptop,West
04-01-2022,Samsung,Headphones,West
04-01-2022,Samsung,Smartphone,South
04-01-2022,Samsung,Tablet,East
04-01-2022,Samsung,Smartphone,North
04-01-2022,Apple,Smartphone,South
04-01-2022,Samsung,Smartphone,South
04-01-2022,Dell,Laptop,North
04-01-2022,Samsung,Laptop,East
04-01-2022,Apple,Smartphone,Central
04-01-2022,Samsung,Laptop,West
04-01-2022,Dell,Smartphone,North
04-01-2022,Apple,Tablet,West
04-01-2022,Sony,Smartphone,West
04-01-2022,Samsung,Laptop,South
04-01-2022,Apple,Smartphone,North
04-01-2022,Apple,Laptop,East
04-01-2022,Apple,Smartphone,South
04-01-2022,Samsung,Smartphone,East
04-01-2022,Samsung,Smartphone,East
04-01-2022,Apple,Smartphone,North
04-01-2022,Apple,Smartphone,East
04-01-2022,Dell,Smartphone,West
04-01-2022,Dell,Smartphone,North
04-01-2022,Apple,Laptop,Central
04-01-2022,Apple,Laptop,West
04-01-2022,Samsung,Tablet,Central
04-01-2022,Apple,Smartphone,South
04-01-2022,Apple,Laptop,East
04-01-2022,Apple,Laptop,West
04-01-2022,Apple,Laptop,West
04-01-2022,Apple,Tablet,Central
04-01-2022,Apple,Smartphone,South
04-01-2022,Samsung,Headphones,East
04-01-2022,Dell,Smartphone,West
04-01-2022,Samsung,Smartphone,West
04-01-2022,Dell,Laptop,South
04-01-2022,Sony,Tablet,East
04-01-2022,Samsung,Smartphone,East
04-01-2022,Apple,Tablet,West
04-01-2022,Apple,Headphones,East
04-01-2022,Dell,Laptop,East
04-01-2022,Dell,Headphones,South
04-01-2022,Dell,Laptop,East
04-01-2022,Samsung,Tablet,South
04-01-2022,Dell,Tablet,North
05-01-2022,Samsung,Laptop,East
05-01-2022,Apple,Tablet,South
05-01-2022,Apple,Tablet,East
05-01-2022,Sony,Laptop,South
05-01-2022,Apple,Headphones,North
05-01-2022,Dell,Smartphone,West
05-01-2022,Dell,Laptop,East
05-01-2022,Dell,Smartphone,South
05-01-2022,Dell,Smartphone,East
05-01-2022,Samsung,Laptop,East
05-01-2022,Dell,Smartphone,West
05-01-2022,Apple,Smartphone,South
05-01-2022,Apple,Smartphone,East
05-01-2022,Dell,Smartphone,South
05-01-2022,Samsung,Tablet,Central
05-01-2022,Samsung,Smartphone,North
05-01-2022,Apple,Smartphone,South
05-01-2022,Apple,Laptop,South
05-01-2022,Sony,Laptop,West
05-01-2022,Apple,Tablet,East
05-01-2022,Sony,Laptop,East
05-01-2022,Samsung,Smartphone,North
05-01-2022,Sony,Smartphone,West
05-01-2022,Samsung,Smartphone,East
05-01-2022,Apple,Smartphone,East
05-01-2022,Apple,Headphones,North
05-01-2022,Dell,Laptop,West
05-01-2022,Apple,Laptop,East
05-01-2022,Samsung,Tablet,Central
05-01-2022,Apple,Laptop,East
05-01-2022,Dell,Headphones,South
05-01-2022,Apple,Laptop,South
05-01-2022,Apple,Smartphone,North
05-01-2022,Samsung,Laptop,South
05-01-2022,Apple,Laptop,West
05-01-2022,Samsung,Laptop,Central
05-01-2022,Dell,Laptop,East
05-01-2022,Sony,Smartphone,East
05-01-2022,Samsung,Headphones,West
05-01-2022,Apple,Smartphone,South
05-01-2022,Dell,Laptop,South
05-01-2022,Apple,Laptop,West
05-01-2022,Sony,Laptop,East
05-01-2022,Apple,Smartphone,East
05-01-2022,Apple,Smartphone,North
05-01-2022,Sony,Tablet,East
05-01-2022,Sony,Headphones,East
05-01-2022,Apple,Smartphone,West
05-01-2022,Samsung,Laptop,Central
05-01-2022,Apple,Laptop,East
05-01-2022,Samsung,Smartphone,East
05-01-2022,Apple,Laptop,West
05-01-2022,Apple,Laptop,South
05-01-2022,Sony,Tablet,East
05-01-2022,Samsung,Smartphone,East
05-01-2022,Sony,Smartphone,East
05-01-2022,Sony,Laptop,East
05-01-2022,Samsung,Smartphone,East
05-01-2022,Dell,Laptop,West
05-01-2022,Apple,Laptop,Central
05-01-2022,Samsung,Laptop,South
05-01-2022,Sony,Laptop,South
05-01-2022,Apple,Laptop,East
05-01-2022,Apple,Headphones,Central
05-01-2022,Samsung,Smartphone,West
05-01-2022,Samsung,Laptop,East
05-01-2022,Apple,Tablet,Central
05-01-2022,Apple,Laptop,East
05-01-2022,Sony,Laptop,West
05-01-2022,Sony,Smartphone,West
05-01-2022,Samsung,Headphones,East
05-01-2022,Dell,Smartphone,South
05-01-2022,Samsung,Headphones,East
05-01-2022,Apple,Laptop,East
05-01-2022,Samsung,Laptop,East
05-01-2022,Apple,Smartphone,West
05-01-2022,Samsung,Smartphone,West
05-01-2022,Apple,Tablet,West
05-01-2022,Dell,Smartphone,East
05-01-2022,Dell,Headphones,East
05-01-2022,Apple,Laptop,East
05-01-2022,Sony,Tablet,East
05-01-2022,Samsung,Smartphone,West
05-01-2022,Samsung,Laptop,South
05-01-2022,Samsung,Headphones,East
05-01-2022,Dell,Laptop,West
05-01-2022,Dell,Tablet,East
05-01-2022,Apple,Laptop,West
05-01-2022,Sony,Smartphone,North
06-01-2022,Samsung,Smartphone,East
06-01-2022,Sony,Smartphone,West
06-01-2022,Sony,Smartphone,West
06-01-2022,Apple,Smartphone,South
06-01-2022,Samsung,Laptop,West
06-01-2022,Apple,Smartphone,West
06-01-2022,Samsung,Smartphone,Central
06-01-2022,Apple,Smartphone,South
06-01-2022,Apple,Smartphone,West
06-01-2022,Sony,Laptop,South
06-01-2022,Samsung,Smartphone,East
06-01-2022,Samsung,Smartphone,South
06-01-2022,Dell,Smartphone,East
06-01-2022,Samsung,Smartphone,East
06-01-2022,Samsung,Headphones,South
06-01-2022,Sony,Laptop,South
06-01-2022,Samsung,Laptop,West
06-01-2022,Apple,Laptop,East
06-01-2022,Sony,Smartphone,West
06-01-2022,Samsung,Smartphone,East
06-01-2022,Samsung,Laptop,West
06-01-2022,Samsung,Tablet,East
06-01-2022,Sony,Laptop,South
06-01-2022,Samsung,Laptop,West
06-01-2022,Apple,Smartphone,West
06-01-2022,Apple,Smartphone,East
06-01-2022,Sony,Laptop,Central
06-01-2022,Dell,Smartphone,West
06-01-2022,Samsung,Tablet,West
06-01-2022,Apple,Smartphone,Central
06-01-2022,Apple,Headphones,West
06-01-2022,Dell,Headphones,Central
06-01-2022,Dell,Smartphone,West
06-01-2022,Apple,Laptop,East
06-01-2022,Samsung,Laptop,East
06-01-2022,Dell,Headphones,North
06-01-2022,Apple,Smartphone,West
06-01-2022,Samsung,Headphones,South
06-01-2022,Apple,Tablet,Central
06-01-2022,Apple,Smartphone,South
06-01-2022,Sony,Smartphone,East
06-01-2022,Apple,Headphones,South
06-01-2022,Samsung,Laptop,West
06-01-2022,Sony,Smartphone,West
06-01-2022,Apple,Smartphone,North
06-01-2022,Samsung,Smartphone,Central
06-01-2022,Apple,Smartphone,East
06-01-2022,Sony,Tablet,North
06-01-2022,Dell,Laptop,Central
06-01-2022,Apple,Smartphone,South
06-01-2022,Apple,Tablet,East
06-01-2022,Samsung,Laptop,East
06-01-2022,Apple,Tablet,South
06-01-2022,Apple,Laptop,North
06-01-2022,Dell,Smartphone,South
06-01-2022,Sony,Smartphone,South
06-01-2022,Sony,Smartphone,West
06-01-2022,Apple,Smartphone,South
06-01-2022,Apple,Laptop,North
06-01-2022,Apple,Tablet,South
06-01-2022,Apple,Smartphone,North
06-01-2022,Dell,Laptop,West
06-01-2022,Samsung,Tablet,East
06-01-2022,Apple,Laptop,Central
06-01-2022,Apple,Tablet,West
06-01-2022,Samsung,Smartphone,Central
06-01-2022,Apple,Smartphone,East
06-01-2022,Dell,Smartphone,Central
06-01-2022,Apple,Smartphone,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Samsung,Smartphone,Central
06-01-2022,Samsung,Smartphone,East
06-01-2022,Apple,Laptop,West
06-01-2022,Samsung,Tablet,West
06-01-2022,Apple,Smartphone,South
06-01-2022,Apple,Smartphone,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Apple,Smartphone,Central
06-01-2022,Apple,Tablet,North
06-01-2022,Apple,Tablet,West
06-01-2022,Samsung,Laptop,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Samsung,Tablet,West
06-01-2022,Dell,Headphones,East
06-01-2022,Apple,Laptop,South
06-01-2022,Samsung,Smartphone,North
06-01-2022,Dell,Smartphone,West
06-01-2022,Samsung,Tablet,West
06-01-2022,Sony,Tablet,East
06-01-2022,Samsung,Smartphone,Central
06-01-2022,Dell,Smartphone,South
06-01-2022,Dell,Smartphone,East
06-01-2022,Apple,Tablet,East
06-01-2022,Samsung,Smartphone,East
06-01-2022,Apple,Tablet,South
06-01-2022,Samsung,Smartphone,East
06-01-2022,Dell,Tablet,East
06-01-2022,Apple,Smartphone,South
06-01-2022,Samsung,Laptop,South
06-01-2022,Samsung,Smartphone,East
06-01-2022,Apple,Tablet,North
06-01-2022,Samsung,Smartphone,East
06-01-2022,Samsung,Laptop,North
06-01-2022,Samsung,Laptop,North
06-01-2022,Apple,Smartphone,South
06-01-2022,Apple,Smartphone,North
06-01-2022,Dell,Smartphone,East
06-01-2022,Dell,Laptop,West
06-01-2022,Dell,Smartphone,West
06-01-2022,Apple,Smartphone,Central
06-01-2022,Sony,Laptop,East
06-01-2022,Dell,Smartphone,North
06-01-2022,Apple,Smartphone,West
06-01-2022,Samsung,Tablet,Central
06-01-2022,Apple,Tablet,South
06-01-2022,Samsung,Laptop,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Apple,Laptop,North
06-01-2022,Samsung,Headphones,East
06-01-2022,Dell,Tablet,West
06-01-2022,Apple,Smartphone,South
06-01-2022,Samsung,Tablet,East
06-01-2022,Apple,Tablet,East
06-01-2022,Dell,Tablet,East
06-01-2022,Sony,Laptop,East
06-01-2022,Samsung,Tablet,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Apple,Smartphone,North
06-01-2022,Samsung,Smartphone,East
06-01-2022,Apple,Tablet,North
06-01-2022,Sony,Tablet,East
06-01-2022,Samsung,Smartphone,East
06-01-2022,Dell,Headphones,East
06-01-2022,Dell,Laptop,East
06-01-2022,Samsung,Smartphone,North
06-01-2022,Apple,Headphones,East
06-01-2022,Dell,Laptop,South
06-01-2022,Apple,Smartphone,East
06-01-2022,Samsung,Smartphone,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Samsung,Tablet,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Apple,Tablet,East
06-01-2022,Sony,Tablet,East
06-01-2022,Samsung,Smartphone,East
06-01-2022,Sony,Laptop,East
06-01-2022,Samsung,Headphones,South
06-01-2022,Apple,Tablet,West
06-01-2022,Samsung,Tablet,West
06-01-2022,Dell,Laptop,East
06-01-2022,Samsung,Smartphone,East
06-01-2022,Apple,Smartphone,Central
06-01-2022,Samsung,Smartphone,South
06-01-2022,Apple,Tablet,North
06-01-2022,Dell,Tablet,West
06-01-2022,Apple,Smartphone,West
06-01-2022,Apple,Smartphone,South
06-01-2022,Dell,Tablet,West
06-01-2022,Apple,Smartphone,East
06-01-2022,Samsung,Smartphone,East
06-01-2022,Apple,Tablet,East
06-01-2022,Samsung,Smartphone,West
06-01-2022,Samsung,Tablet,East
06-01-2022,Sony,Headphones,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Sony,Tablet,West
06-01-2022,Apple,Smartphone,East
06-01-2022,Sony,Laptop,North
06-01-2022,Dell,Tablet,South
06-01-2022,Dell,Smartphone,Central
06-01-2022,Apple,Smartphone,Central
06-01-2022,Apple,Smartphone,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Apple,Headphones,East
06-01-2022,Apple,Headphones,West
06-01-2022,Samsung,Tablet,South
06-01-2022,Apple,Tablet,West
06-01-2022,Apple,Laptop,East
06-01-2022,Apple,Smartphone,South
06-01-2022,Dell,Laptop,West
06-01-2022,Samsung,Smartphone,South
06-01-2022,Apple,Smartphone,East
06-01-2022,Dell,Smartphone,North
06-01-2022,Sony,Laptop,North
06-01-2022,Samsung,Smartphone,South
06-01-2022,Samsung,Laptop,South
06-01-2022,Samsung,Laptop,North
06-01-2022,Sony,Smartphone,East
06-01-2022,Samsung,Headphones,East
06-01-2022,Samsung,Smartphone,East
06-01-2022,Sony,Smartphone,North
06-01-2022,Dell,Smartphone,West
06-01-2022,Samsung,Tablet,West
06-01-2022,Apple,Smartphone,East
06-01-2022,Dell,Smartphone,West
06-01-2022,Samsung,Laptop,East
06-01-2022,Dell,Smartphone,West
06-01-2022,Samsung,Smartphone,North
06-01-2022,Apple,Smartphone,Central
06-01-2022,Samsung,Headphones,East
06-01-2022,Apple,Tablet,South
06-01-2022,Apple,Tablet,West
06-01-2022,Apple,Smartphone,East
06-01-2022,Sony,Tablet,West
06-01-2022,Samsung,Headphones,East
06-01-2022,Samsung,Headphones,East
06-01-2022,Dell,Tablet,North
06-01-2022,Samsung,Tablet,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Apple,Laptop,East
06-01-2022,Dell,Smartphone,North
06-01-2022,Sony,Smartphone,Central
06-01-2022,Apple,Headphones,Central
06-01-2022,Apple,Laptop,East
06-01-2022,Dell,Laptop,Central
06-01-2022,Apple,Laptop,West
06-01-2022,Apple,Smartphone,West
06-01-2022,Apple,Smartphone,East
06-01-2022,Samsung,Laptop,Central
06-01-2022,Apple,Tablet,East
06-01-2022,Samsung,Smartphone,East
06-01-2022,Apple,Smartphone,West
06-01-2022,Samsung,Smartphone,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Sony,Smartphone,Central
06-01-2022,Samsung,Smartphone,West
06-01-2022,Samsung,Headphones,East
06-01-2022,Apple,Laptop,West
06-01-2022,Apple,Smartphone,North
06-01-2022,Samsung,Headphones,West
06-01-2022,Dell,Headphones,East
06-01-2022,Dell,Laptop,South
06-01-2022,Apple,Smartphone,West
06-01-2022,Apple,Laptop,East
06-01-2022,Dell,Laptop,East
06-01-2022,Apple,Smartphone,Central
06-01-2022,Dell,Laptop,West
06-01-2022,Dell,Smartphone,Central
06-01-2022,Samsung,Smartphone,West
06-01-2022,Apple,Tablet,West
06-01-2022,Samsung,Smartphone,Central
06-01-2022,Samsung,Headphones,North
06-01-2022,Apple,Smartphone,South
06-01-2022,Apple,Laptop,East
06-01-2022,Sony,Headphones,West
06-01-2022,Apple,Laptop,East
06-01-2022,Apple,Smartphone,East
06-01-2022,Samsung,Smartphone,Central
06-01-2022,Apple,Laptop,West
06-01-2022,Samsung,Tablet,East
06-01-2022,Dell,Smartphone,North
06-01-2022,Samsung,Laptop,East
06-01-2022,Dell,Smartphone,East
06-01-2022,Samsung,Laptop,South
06-01-2022,Sony,Smartphone,West
06-01-2022,Dell,Smartphone,North
06-01-2022,Apple,Smartphone,East
06-01-2022,Apple,Laptop,South
06-01-2022,Dell,Tablet,West
06-01-2022,Sony,Smartphone,East
06-01-2022,Samsung,Smartphone,East
06-01-2022,Apple,Smartphone,North
06-01-2022,Apple,Smartphone,East
06-01-2022,Apple,Tablet,South
06-01-2022,Apple,Laptop,South
06-01-2022,Dell,Smartphone,East
06-01-2022,Samsung,Smartphone,North
06-01-2022,Sony,Laptop,Central
06-01-2022,Apple,Smartphone,North
06-01-2022,Samsung,Headphones,East
06-01-2022,Samsung,Laptop,West
07-01-2022,Apple,Smartphone,East
07-01-2022,Apple,Smartphone,East
07-01-2022,Apple,Smartphone,East
07-01-2022,Samsung,Laptop,West
07-01-2022,Samsung,Laptop,South
07-01-2022,Apple,Smartphone,Central
07-01-2022,Samsung,Smartphone,South
07-01-2022,Samsung,Smartphone,North
07-01-2022,Apple,Laptop,West
07-01-2022,Samsung,Smartphone,West
07-01-2022,Apple,Headphones,South
07-01-2022,Samsung,Laptop,West
07-01-2022,Samsung,Laptop,East
07-01-2022,Samsung,Laptop,East
07-01-2022,Apple,Smartphone,North
07-01-2022,Samsung,Smartphone,West
07-01-2022,Sony,Laptop,East
07-01-2022,Apple,Laptop,Central
07-01-2022,Samsung,Smartphone,North
07-01-2022,Samsung,Laptop,West
07-01-2022,Dell,Smartphone,West
07-01-2022,Apple,Laptop,West
07-01-2022,Apple,Smartphone,East
07-01-2022,Samsung,Smartphone,East
07-01-2022,Samsung,Smartphone,West
07-01-2022,Dell,Laptop,East
07-01-2022,Samsung,Headphones,East
07-01-2022,Apple,Headphones,East
07-01-2022,Samsung,Laptop,East
07-01-2022,Sony,Laptop,West
07-01-2022,Apple,Smartphone,Central
07-01-2022,Apple,Smartphone,Central
07-01-2022,Sony,Tablet,West
07-01-2022,Dell,Smartphone,East
07-01-2022,Samsung,Headphones,West
07-01-2022,Apple,Laptop,East
07-01-2022,Sony,Smartphone,East
07-01-2022,Dell,Smartphone,North
07-01-2022,Sony,Smartphone,Central
07-01-2022,Samsung,Tablet,South
07-01-2022,Dell,Smartphone,East
07-01-2022,Apple,Smartphone,West
07-01-2022,Apple,Smartphone,Central
07-01-2022,Apple,Smartphone,North
07-01-2022,Apple,Smartphone,West
07-01-2022,Apple,Headphones,Central
07-01-2022,Apple,Laptop,West
07-01-2022,Samsung,Laptop,West
07-01-2022,Apple,Smartphone,North
07-01-2022,Dell,Laptop,South
07-01-2022,Dell,Tablet,North
07-01-2022,Sony,Smartphone,West
07-01-2022,Sony,Smartphone,West
07-01-2022,Dell,Smartphone,West
07-01-2022,Sony,Smartphone,North
07-01-2022,Apple,Laptop,Central
07-01-2022,Apple,Smartphone,East
07-01-2022,Samsung,Headphones,South
07-01-2022,Samsung,Smartphone,West
07-01-2022,Apple,Tablet,East
07-01-2022,Dell,Smartphone,East
07-01-2022,Apple,Laptop,South
07-01-2022,Samsung,Laptop,East
07-01-2022,Samsung,Smartphone,East
07-01-2022,Apple,Headphones,East
07-01-2022,Sony,Smartphone,East
07-01-2022,Samsung,Smartphone,East
07-01-2022,Samsung,Laptop,South
07-01-2022,Apple,Smartphone,East
07-01-2022,Samsung,Smartphone,West
07-01-2022,Sony,Headphones,West
07-01-2022,Dell,Laptop,Central
07-01-2022,Apple,Smartphone,Central
07-01-2022,Samsung,Smartphone,Central
07-01-2022,Apple,Laptop,Central
07-01-2022,Dell,Tablet,West
07-01-2022,Dell,Laptop,East
07-01-2022,Dell,Laptop,East
07-01-2022,Apple,Headphones,North
07-01-2022,Dell,Headphones,South
07-01-2022,Samsung,Smartphone,West
07-01-2022,Samsung,Laptop,West
07-01-2022,Samsung,Headphones,East
07-01-2022,Apple,Smartphone,East
07-01-2022,Samsung,Laptop,East
07-01-2022,Apple,Smartphone,South
07-01-2022,Apple,Smartphone,North
08-01-2022,Apple,Headphones,Central
08-01-2022,Apple,Headphones,North
08-01-2022,Samsung,Tablet,West
08-01-2022,Sony,Laptop,East
08-01-2022,Sony,Smartphone,West
08-01-2022,Sony,Smartphone,West
08-01-2022,Samsung,Laptop,East
08-01-2022,Apple,Smartphone,East
08-01-2022,Samsung,Tablet,South
08-01-2022,Apple,Smartphone,South
08-01-2022,Samsung,Laptop,East
08-01-2022,Dell,Smartphone,East
08-01-2022,Apple,Headphones,West
08-01-2022,Apple,Tablet,East
08-01-2022,Dell,Headphones,North
08-01-2022,Apple,Smartphone,North
08-01-2022,Samsung,Laptop,North
08-01-2022,Dell,Smartphone,South
08-01-2022,Apple,Tablet,North
08-01-2022,Samsung,Smartphone,West
08-01-2022,Dell,Smartphone,East
08-01-2022,Samsung,Smartphone,South
08-01-2022,Apple,Laptop,South
08-01-2022,Apple,Smartphone,Central
08-01-2022,Sony,Headphones,East
08-01-2022,Samsung,Smartphone,Central
08-01-2022,Sony,Laptop,West
08-01-2022,Apple,Smartphone,South
08-01-2022,Apple,Tablet,East
08-01-2022,Dell,Smartphone,West
08-01-2022,Dell,Headphones,East
08-01-2022,Sony,Laptop,South
08-01-2022,Apple,Smartphone,East
08-01-2022,Sony,Tablet,North
08-01-2022,Dell,Smartphone,South
08-01-2022,Samsung,Laptop,West
08-01-2022,Apple,Tablet,West
08-01-2022,Samsung,Smartphone,West
08-01-2022,Apple,Headphones,North
08-01-2022,Sony,Headphones,North
08-01-2022,Sony,Smartphone,South
08-01-2022,Samsung,Smartphone,Central
08-01-2022,Samsung,Tablet,East
08-01-2022,Samsung,Smartphone,South
08-01-2022,Samsung,Smartphone,North
08-01-2022,Sony,Smartphone,West
08-01-2022,Sony,Smartphone,East
09-01-2022,Apple,Laptop,East
09-01-2022,Dell,Smartphone,South
09-01-2022,Apple,Laptop,South
09-01-2022,Samsung,Headphones,East
09-01-2022,Dell,Smartphone,West
09-01-2022,Dell,Smartphone,West
09-01-2022,Apple,Smartphone,East
09-01-2022,Apple,Headphones,Central
09-01-2022,Sony,Laptop,West
09-01-2022,Apple,Tablet,North
09-01-2022,Apple,Smartphone,East
09-01-2022,Apple,Smartphone,South
09-01-2022,Samsung,Smartphone,East
09-01-2022,Sony,Headphones,East
09-01-2022,Apple,Laptop,East
09-01-2022,Apple,Tablet,East
09-01-2022,Apple,Laptop,West
09-01-2022,Samsung,Headphones,South
09-01-2022,Sony,Laptop,South
09-01-2022,Samsung,Smartphone,East
09-01-2022,Dell,Smartphone,Central
09-01-2022,Samsung,Smartphone,West
09-01-2022,Apple,Tablet,North
09-01-2022,Sony,Laptop,North
09-01-2022,Samsung,Smartphone,East
09-01-2022,Samsung,Laptop,North
09-01-2022,Dell,Laptop,East
09-01-2022,Sony,Headphones,West
09-01-2022,Sony,Smartphone,Central
09-01-2022,Dell,Laptop,South
09-01-2022,Sony,Laptop,South
09-01-2022,Samsung,Laptop,South
09-01-2022,Dell,Smartphone,South
09-01-2022,Apple,Tablet,West
09-01-2022,Sony,Smartphone,East
09-01-2022,Samsung,Tablet,East
09-01-2022,Samsung,Smartphone,West
09-01-2022,Dell,Laptop,North
10-01-2022,Samsung,Tablet,East
10-01-2022,Dell,Headphones,East
10-01-2022,Dell,Smartphone,South
10-01-2022,Sony,Smartphone,East
10-01-2022,Sony,Smartphone,East
10-01-2022,Samsung,Smartphone,East
10-01-2022,Dell,Laptop,North
10-01-2022,Apple,Laptop,East
10-01-2022,Dell,Smartphone,North
10-01-2022,Apple,Smartphone,East
10-01-2022,Apple,Smartphone,South
10-01-2022,Samsung,Laptop,East
10-01-2022,Apple,Smartphone,North
10-01-2022,Samsung,Smartphone,East
10-01-2022,Apple,Smartphone,North
